 ,Area,,
1,14.81,,34.6959962
2,63.614,,
3,46.742,,
4,7.476,,
5,51.527,,
6,11.892,,
7,4.6,,
8,33.158,,
9,130.95,,
10,3.374,,
11,3.917,,
12,90.425,,
13,17.555,,
14,24.944,,
15,2.279,,
16,16.308,,
17,11.794,,
18,110.997,,
19,160.495,,
20,5.74,,
21,8.832,,
22,9.277,,
23,14.55,,
24,15.982,,
25,94.949,,
26,5.881,,
27,1.085,,
28,93.04,,
29,27.429,,
30,25.975,,
31,70.428,,
32,19.487,,
33,25.563,,
34,6.185,,
35,25.65,,
36,51.994,,
37,88.841,,
38,9.288,,
39,16.829,,
40,46.189,,
41,22.069,,
42,10.633,,
43,35.643,,
44,79.944,,
45,11.989,,
46,47.22,,
47,49.032,,
48,20.637,,
49,4.481,,
50,5.078,,
51,9.754,,
52,12.532,,
53,17.545,,
54,2.485,,
55,14.04,,
56,107.058,,
57,33.592,,
58,23.849,,
59,36.478,,
60,53.231,,
61,9.95,,
62,40.688,,
63,5.425,,
64,48.554,,
65,50.388,,
66,1.953,,
67,2.734,,
68,127.478,,
69,1.584,,
70,1.367,,
71,9.754,,
72,7.66,,
73,108.838,,
74,16.937,,
75,33.234,,
76,4.297,,
77,92.107,,
78,143.439,,
79,77.709,,
80,22.167,,
81,132.892,,
82,36.239,,
83,96.295,,
84,9.624,,
85,26.767,,
86,52.026,,
87,6.087,,
88,130.245,,
89,18.662,,
90,18.445,,
91,8.723,,
92,3.776,,
93,19.932,,
94,19.53,,
95,21.635,,
96,25.227,,
97,13.823,,
98,2.973,,
99,59.73,,
100,5.783,,
101,6.987,,
102,26.756,,
103,281.495,,
104,15.646,,
105,4.915,,
106,6.326,,
107,22.557,,
108,30.695,,
109,120.404,,
110,5.034,,
111,17.252,,
112,4.297,,
113,2.289,,
114,20.17,,
115,8.105,,
116,6.217,,
117,17.588,,
118,3.787,,
119,3.016,,
120,19.584,,
121,5.024,,
122,3.125,,
123,178.908,,
124,10.525,,
125,3.949,,
126,7.248,,
127,44.301,,
128,17.523,,
129,27.961,,
130,5.946,,
131,63.625,,
132,7.074,,
133,1.454,,
134,97.336,,
135,9.407,,
136,9.32,,
137,8.344,,
138,5.1,,
139,2.582,,
140,2.951,,
141,44.605,,
142,35.382,,
143,10.677,,
144,45.31,,
145,1.584,,
146,104.215,,
147,2.702,,
148,40.406,,
149,28.677,,
150,2.886,,
151,21.245,,
152,16.319,,
153,5.262,,
154,3.157,,
155,4.123,,
156,68.182,,
157,62.204,,
158,2.083,,
159,35.176,,
160,4.383,,
161,13.498,,
162,93.007,,
163,59.046,,
164,20.398,,
165,2.485,,
166,25.389,,
167,4.633,,
