 ,Area,,
1,3.483,,
2,126.332,,42.39660373
3,20.29,,
4,80.446,,
5,44.878,,
6,23.643,,
7,42.653,,
8,954.378,,
9,6.944,,
10,2.42,,
11,3.483,,
12,6.152,,
13,26.388,,
14,21.365,,
15,13.552,,
16,44.01,,
17,47.026,,
18,19.498,,
19,26.692,,
20,81.335,,
21,45.485,,
22,8.203,,
23,3.266,,
24,132.854,,
25,49.37,,
26,47.395,,
27,2.42,,
28,4.72,,
29,117.272,,
30,9.483,,
31,2.279,,
32,2.083,,
33,2.973,,
34,34.895,,
35,8.572,,
36,2.94,,
37,50.824,,
38,13.704,,
39,7.617,,
40,4.818,,
41,6.131,,
42,192.293,,
43,23.415,,
44,16.08,,
45,171.796,,
46,6.478,,
47,240.154,,
48,12.033,,
49,10.319,,
50,18.066,,
51,48.502,,
52,7.259,,
53,28.656,,
54,11.057,,
55,30.012,,
56,7.867,,
57,17.317,,
58,1.324,,
59,126.387,,
60,26.128,,
61,3.32,,
62,2.203,,
63,87.64,,
64,9.483,,
65,2.452,,
66,18.044,,
67,17.806,,
68,60.73,,
69,28.71,,
70,24.837,,
71,63.117,,
72,3.288,,
73,36.1,,
74,92.327,,
75,3.483,,
76,12.717,,
77,12.229,,
78,4.774,,
79,7.183,,
80,27.3,,
81,12.163,,
82,8.236,,
83,4.232,,
84,254.227,,
85,21.126,,
86,13.379,,
87,35.546,,
88,2.865,,
89,68.022,,
90,44.509,,
91,4.145,,
92,38.519,,
93,5.121,,
94,40.082,,
95,61.631,,
96,15.56,,
97,50.618,,
98,15.386,,
99,66.264,,
100,16.319,,
101,50.759,,
102,19.097,,
103,15.191,,
104,1.877,,
105,58.061,,
106,13.65,,
107,4.275,,
108,3.32,,
109,6.391,,
110,140.134,,
111,49.185,,
112,13.118,,
113,6.858,,
114,130.119,,
115,39.366,,
116,7.422,,
117,48.285,,
118,8.973,,
119,4.384,,
120,21.18,,
121,7.986,,
122,325.222,,
123,10.221,,
124,65.277,,
125,11.567,,
126,4.308,,
127,51.876,,
128,4.97,,
129,32.986,,
130,78.84,,
131,2.051,,
132,77.668,,
133,50.379,,
134,10.286,,
135,43.565,,
136,16.764,,
137,1123.754,,
138,2.734,,
139,53.45,,
140,65.201,,
141,3.765,,
142,53.33,,
143,28.537,,
144,38.91,,
145,2.224,,
146,1.443,,
147,3.472,,
148,2.3,,
149,17.122,,
150,13.726,,
151,3.602,,
152,108.624,,
153,34.863,,
154,8.789,,
155,172.284,,
156,282.341,,
157,162.595,,
158,67.078,,
159,10.916,,
160,7.867,,
161,43.033,,
162,24.5,,
163,4.319,,
164,18.685,,
165,2.962,,
166,16.807,,
167,3.06,,
168,172.013,,
169,35.134,,
170,21.397,,
171,2.322,,
172,8.843,,
173,44.65,,
174,7.606,,
175,39.843,,
176,2.648,,
177,65.201,,
178,18.674,,
179,275.028,,
180,14.171,,
181,2.409,,
182,4.264,,
183,73.078,,
184,1.53,,
185,16.862,,
186,18.75,,
187,1.042,,
188,60.101,,
189,101.669,,
190,2.441,,
191,11.165,,
192,36.36,,
193,181.952,,
194,8.073,,
195,7.932,,
196,19.9,,
197,4.557,,
198,3.776,,
199,55.023,,
200,24.717,,
201,7.693,,
202,13.194,,
203,18.381,,
204,7.075,,
205,8.16,,
206,40.483,,
207,31.792,,
208,2.279,,
209,16.308,,
210,3.364,,
211,1.139,,
212,6.771,,
213,6.011,,
214,23.773,,
215,26.464,,
216,1.671,,
217,15.386,,
218,54.99,,
219,5.1,,
220,19.368,,
221,27.452,,
222,15.603,,
223,6.641,,
224,11.61,,
225,34.917,,
226,30.75,,
227,38.074,,
228,1.052,,
229,18.967,,
230,90.157,,
231,11.729,,
232,7.183,,
233,24.924,,
234,15.31,,
235,11.404,,
236,11.23,,
237,17.296,,
238,7.031,,
239,535.418,,
240,16.439,,
241,229.77,,
242,22.352,,
243,517.526,,
244,4.243,,
245,29.405,,
246,7.237,,
247,1.975,,
248,65.559,,
249,1.031,,
250,1.291,,
251,1.389,,
252,50.292,,
253,5.273,,
254,39.311,,
255,114.126,,
