 ,Area,,
1,35.556,,
2,14.854,,30.96394249
3,21.95,,
4,6.781,,
5,27.321,,
6,33.711,,
7,39.614,,
8,5.751,,
9,47.556,,
10,60.555,,
11,6.912,,
12,5.534,,
13,183.443,,
14,5.837,,
15,2.105,,
16,37.335,,
17,22.395,,
18,23.306,,
19,71.719,,
20,9.396,,
21,5.664,,
22,7.4,,
23,136.202,,
24,4.459,,
25,2.3,,
26,27.538,,
27,17.61,,
28,7.4,,
29,12.445,,
30,2.951,,
31,6.966,,
32,15.776,,
33,10.709,,
34,14.615,,
35,15.581,,
36,96.295,,
37,56.193,,
38,4.633,,
39,38.171,,
40,30.055,,
41,26.615,,
42,52.851,,
43,7.855,,
44,3.656,,
45,3.678,,
46,4.839,,
47,28.883,,
48,29.23,,
49,11.306,,
50,191.266,,
51,14.051,,
52,6.336,,
53,58.905,,
54,42.684,,
55,2.04,,
56,9.971,,
57,55.726,,
58,97.51,,
59,57.082,,
60,5.176,,
61,23.501,,
62,48.815,,
63,2.517,,
64,85.553,,
65,3.201,,
66,3.418,,
67,147.149,,
68,218.89,,
69,6.716,,
70,2.919,,
71,111.659,,
72,2.029,,
73,30.706,,
74,12.282,,
75,3.19,,
76,4.676,,
77,104.161,,
78,20.17,,
79,6.803,,
80,4.253,,
81,8.355,,
82,12.543,,
83,57.321,,
84,11.848,,
85,2.441,,
86,47.317,,
87,111.593,,
88,88.504,,
89,30.945,,
90,4.058,,
91,4.047,,
92,13.834,,
93,5.36,,
94,28.004,,
95,4.188,,
96,3.103,,
97,5.87,,
98,380.123,,
99,116.085,,
100,2.365,,
101,5.165,,
102,29.306,,
103,11.013,,
104,20.615,,
105,19.487,,
106,104.497,,
107,140.628,,
108,35.382,,
109,14.192,,
110,12.206,,
111,70.851,,
112,4.459,,
113,5.078,,
114,4.34,,
115,66.218,,
116,17.631,,
117,2.908,,
118,2.257,,
119,7.649,,
120,5.067,,
121,11.338,,
122,54.435,,
123,24.326,,
124,6.77,,
125,33.852,,
126,40.992,,
127,25.248,,
128,6.087,,
129,11.827,,
130,180.459,,
131,2.181,,
132,62.171,,
133,34.33,,
134,2.148,,
135,2.018,,
136,40.113,,
137,7.714,,
138,10.872,,
139,4.731,,
140,12.51,,
141,2.235,,
142,15.505,,
143,79.054,,
144,8.865,,
145,2.268,,
146,60.164,,
147,3.244,,
148,24.196,,
149,24.999,,
150,16.492,,
151,14.442,,
152,2.094,,
153,3.472,,
154,6.857,,
155,102.197,,
156,124.006,,
157,114.48,,
158,2.94,,
159,11.469,,
160,129.42,,
161,93.43,,
162,7.66,,
163,118.31,,
164,21.006,,
165,2.018,,
166,10.373,,
167,2.821,,
168,46.254,,
169,54.826,,
170,12.065,,
171,73.792,,
172,6.434,,
173,43.032,,
174,2.528,,
175,13.346,,
176,31.715,,
177,5.772,,
178,3.722,,
