 ,Area,,
1,538.543,,
2,33.029,,
3,386.289,,
4,44.878,,157.1340076
5,78.069,,
6,204.89,,
7,60.459,,
8,430.646,,
9,13.444,,
10,10.601,,
11,26.985,,
12,133.049,,
13,17.307,,
14,705.619,,
15,10.677,,
16,98.989,,
17,358.544,,
18,14.268,,
19,76.55,,
20,10.08,,
21,76.8,,
22,33.843,,
23,28.689,,
24,10.699,,
25,402.196,,
26,10.753,,
27,175.681,,
28,121.634,,
29,26.106,,
30,203.914,,
31,122.242,,
32,316.314,,
33,253.891,,
34,30.251,,
35,142.608,,
36,10.514,,
37,19.65,,
38,17.578,,
39,526.054,,
40,61.132,,
41,11.838,,
42,32.324,,
43,232.537,,
44,306.375,,
45,24.446,,
46,353.379,,
47,215.263,,
48,12.424,,
49,560.906,,
50,37.033,,
51,50.737,,
52,104.154,,
53,1039.706,,
54,31.315,,
55,10.926,,
56,130.575,,
57,15.343,,
58,137.736,,
59,27.159,,
60,806.062,,
61,286.779,,
62,260.89,,
63,23.73,,
64,297.738,,
65,28.602,,
66,15.104,,
67,220.341,,
68,334.673,,
69,558.844,,
70,167.087,,
71,12.956,,
72,10.471,,
73,17.458,,
74,39.225,,
75,568.48,,
76,121.569,,
77,289.567,,
78,14.54,,
79,10.623,,
80,16.265,,
81,423.767,,
82,11.165,,
83,290.696,,
84,478.768,,
85,75.747,,
86,152.265,,
87,12.315,,
88,116.144,,
89,14.442,,
90,39.767,,
91,99.76,,
92,15.57,,
93,72.536,,
94,11.068,,
95,850.387,,
96,11.99,,
97,858.253,,
98,44.411,,
99,614.735,,
100,26.161,,
101,248.477,,
102,10.948,,
103,126.951,,
104,351.166,,
105,11.87,,
106,40.961,,
107,11.371,,
108,12.912,,
109,355.495,,
110,88.627,,
111,11.86,,
112,11.556,,
113,341.107,,
114,11.577,,
115,46.679,,
116,11.556,,
117,358.598,,
118,129.87,,
119,169.626,,
120,231.322,,
121,113.247,,
122,10.46,,
123,14.214,,
124,13.324,,
125,94.475,,
126,152.417,,
127,112.162,,
128,58.81,,
129,29.264,,
130,11.187,,
131,23.144,,
132,27.864,,
